period,start,end,days
1,2025-02-27,2025-03-12,10
2,2025-03-13,2025-03-26,10
3,2025-03-27,2025-04-09,9
4,2025-04-10,2025-04-23,8
5,2025-04-24,2025-05-07,8
6,2025-05-08,2025-05-21,10
7,2025-05-22,2025-06-04,10
8,2025-06-05,2025-06-18,10
9,2025-06-19,2025-07-02,9
10,2025-07-03,2025-07-16,10
11,2025-07-17,2025-07-30,10
12,2025-07-31,2025-08-13,10
13,2025-08-14,2025-08-27,10
14,2025-08-28,2025-09-10,10
15,2025-09-11,2025-09-24,10
16,2025-09-25,2025-10-08,8
17,2025-10-09,2025-10-22,10
18,2025-10-23,2025-11-05,9
19,2025-11-06,2025-11-19,10
20,2025-11-20,2025-12-03,10
21,2025-12-04,2025-12-17,10
22,2025-12-18,2025-12-31,8
23,2026-01-02,2026-01-14,9
24,2026-01-15,2026-01-28,10
25,2026-01-29,2026-02-11,10
26,2026-02-12,2026-02-25,7
