period,start,end,days
1,2026-05-13,2026-05-26,9
2,2026-05-27,2026-06-09,10
3,2026-06-10,2026-06-23,9
4,2026-06-24,2026-07-07,9
5,2026-07-08,2026-07-21,10
6,2026-07-22,2026-08-04,10
7,2026-08-05,2026-08-18,10
8,2026-08-19,2026-09-01,10
9,2026-09-02,2026-09-15,9
10,2026-09-16,2026-09-29,10
11,2026-09-30,2026-10-13,10
12,2026-10-14,2026-10-27,10
13,2026-10-28,2026-11-10,10
14,2026-11-11,2026-11-24,10
15,2026-11-25,2026-12-08,9
16,2026-12-09,2026-12-22,10
17,2026-12-23,2027-01-05,8
18,2027-01-06,2027-01-19,9
19,2027-01-20,2027-02-02,10
20,2027-02-03,2027-02-16,9
21,2027-02-17,2027-03-02,10
22,2027-03-03,2027-03-16,10
23,2027-03-17,2027-03-30,9
24,2027-03-31,2027-04-13,10
25,2027-04-14,2027-04-27,10
26,2027-04-28,2027-05-11,10
