Expiry,ATM Fwd,ATM Vol,Put Vol,Call Vol,Skew,Smile,Call Wing,Put Wing
2026-05-15,288.37,105.21,181.96,101.59,-0.48,3.31,0.31,0.81
2026-05-22,288.31,104.41,154.54,100.13,-0.36,1.35,8.62,5.84
2026-05-29,288.47,102.14,140.09,98.84,-0.28,1.09,0.41,0.7
2026-06-05,288.72,101.48,131.65,98.49,-0.23,0.75,2.13,1.39
2026-06-12,288.81,101.28,125.77,98.58,-0.2,0.53,5.0,2.76
2026-06-18,289.01,101.37,122.72,98.95,-0.16,0.33,0.01,0.55
2026-07-17,289.89,99.76,114.88,98.64,-0.09,0.4,0.05,0.34
2026-08-21,290.77,102.55,111.26,100.89,-0.09,0.06,0.0,1.0
2026-09-18,291.86,101.81,109.94,100.39,-0.08,0.09,0.01,0.29
2026-10-16,292.25,101.17,108.94,100.11,-0.07,0.13,0.21,0.46
2026-11-20,293.57,101.86,107.67,100.61,-0.07,0.03,0.0,0.66
2026-12-18,294.34,100.89,106.63,99.67,-0.07,0.03,0.02,1.26
2027-01-15,295.13,99.59,105.45,98.55,-0.06,0.06,0.15,0.45
2027-06-17,299.16,98.43,102.9,97.73,-0.05,0.08,0.0,0.19
2028-01-21,304.86,97.26,100.27,96.5,-0.04,0.0,0.63,0.82
2028-03-17,306.3,96.99,100.05,96.49,-0.03,0.05,1.37,0.19
2028-06-16,308.7,96.98,99.54,96.57,-0.03,0.05,1.19,0.12
